,Perfil,Repositório,Linguagem
0,Amazon,.github,
1,Amazon,ads-advanced-tools-docs,
2,Amazon,ads-pao-amznjs-gtm-template,Smarty
3,Amazon,alexa-coho,JavaScript
4,Amazon,alexa-skills-kit-js,
5,Amazon,amazon-ads-advertiser-audience-normalization-sdk-py,Python
6,Amazon,amazon-advertising-api-php-sdk,PHP
7,Amazon,amazon-codeguru-profiler-for-spark,Java
8,Amazon,amazon-frustration-free-setup-certification-tool,Python
9,Amazon,amazon-hub-counter-api-docs,CSS
10,Amazon,amazon-hub-counter-api-samples,Java
11,Amazon,amazon-hub-counter-sdk-java,Java
12,Amazon,amazon-hub-support,PowerShell
13,Amazon,amazon-instant-access-sdk-java,Java
14,Amazon,amazon-instant-access-sdk-net,C#
15,Amazon,amazon-instant-access-sdk-php,PHP
16,Amazon,amazon-instant-access-sdk-ruby,Ruby
17,Amazon,amazon-launcher-integration-cordova-plugin,JavaScript
18,Amazon,amazon-marketing-stream-examples,Python
19,Amazon,amazon-mcf-plugin-for-magento-1,PHP
20,Amazon,amazon-multi-token-completion,Python
21,Amazon,amazon-nearest-neighbor-through-ecc,Jupyter Notebook
22,Amazon,amazon-pay-api-sdk-dotnet,C#
23,Amazon,amazon-pay-api-sdk-java,Java
24,Amazon,amazon-pay-api-sdk-nodejs,JavaScript
25,Amazon,amazon-pay-api-sdk-php,PHP
26,Amazon,amazon-pay-sdk-csharp,C#
27,Amazon,amazon-pay-sdk-java,Java
28,Amazon,amazon-pay-sdk-php,PHP
29,Amazon,amazon-pay-sdk-python,Python
30,Amazon,amazon-pay-sdk-ruby,Ruby
31,Amazon,amazon-pay-sdk-samples,PHP
32,Amazon,amazon-payment-files-tools,Kotlin
33,Amazon,amazon-payments-magento-2-plugin,PHP
34,Amazon,amazon-ray,Python
35,Amazon,amazon-s3-gst-plugin,C
36,Amazon,amazon-sidewalk-android-samples,Kotlin
37,Amazon,amazon-sidewalk-ios-samples,Swift
38,Amazon,amazon-succinct-doc-representation,Python
39,Amazon,amazon-template-library,C++
40,Amazon,amazon-weak-ner-needle,Python
41,Amazon,amigitenough,Go
42,Amazon,amzn-drivers,C
43,Amazon,amzn-ec2-ena-utilities,Python
44,Amazon,auction-gym,Jupyter Notebook
45,Amazon,autotrail,Python
46,Amazon,aws-apigateway-client-lib,
47,Amazon,aws-sigv4-signing-samples,Java
48,Amazon,awsssmchaosrunner,Kotlin
49,Amazon,basis-point-sets,Python
50,Amazon,buy-with-prime-automate-tenant-validation,JavaScript
51,Amazon,buy-with-prime-event-accelerator,Python
52,Amazon,buy-with-prime-oauth-handler-ec2,JavaScript
53,Amazon,buy-with-prime-saas-integration,TypeScript
54,Amazon,chalet-charging-location-for-electric-trucks,Python
55,Amazon,computer-vision-basics-in-microsoft-excel,
56,Amazon,confident-sinkhorn-allocation,Jupyter Notebook
57,Amazon,convolutional-handwriting-gan,Python
58,Amazon,cosearcher,Python
59,Amazon,credence-to-causal-estimation,Python
60,Amazon,data-jack-knife,Java
61,Amazon,debiased-balanced-interleaving,Jupyter Notebook
62,Amazon,differential-privacy-bayesian-optimization,Python
63,Amazon,distance-assistant,Python
64,Amazon,drs-sample-android-app,Java
65,Amazon,drs-sample-ios-app,Objective-C
66,Amazon,emukit-playground,JavaScript
67,Amazon,eslint-plugin-no-date-parsing,TypeScript
68,Amazon,exoplayer-amazon-port,Java
69,Amazon,explainable-text-vqa,
70,Amazon,faithful-data2text-cycle-training,Python
71,Amazon,fashion-attribute-disentanglement,Python
72,Amazon,fire-app-builder,Java
73,Amazon,firetv-sample-touch-app,Java
74,Amazon,ftv-livetv-sample-tv-app,Java
75,Amazon,gameon-sample-game-unity,C#
76,Amazon,gameon-starter-kit-unity,C#
77,Amazon,git-commit-template,JavaScript
78,Amazon,glad,JavaScript
79,Amazon,golang-gitoperations,Go
80,Amazon,halo-third-party-sdk-for-java,Java
81,Amazon,halo-third-party-sdk-for-node-js,TypeScript
82,Amazon,halo-third-party-sdk-for-python,Python
83,Amazon,hawktracer,C++
84,Amazon,image-misspell-coling2020,
85,Amazon,image-to-recipe-transformers,Python
86,Amazon,ion-object-mapper-dotnet,C#
87,Amazon,jekyll-doc-project,HTML
88,Amazon,kqr,
89,Amazon,login-with-amazon-oscommerce,PHP
90,Amazon,login-with-amazon-wordpress,PHP
91,Amazon,merlin-on-demand-callgraph,JavaScript
92,Amazon,metalearn-leap,Python
93,Amazon,milan,Scala
94,Amazon,multiconer-baseline,Python
95,Amazon,multilingual-keyphrase-generation,Python
96,Amazon,multimodal-affinities,Python
97,Amazon,MXFusion,Python
98,Amazon,nimbus-jose-jwt_aws-kms-extension,Java
99,Amazon,node-jose_aws-kms-extension,TypeScript
100,Amazon,openapi-swift-code-generate,Swift
101,Amazon,orthogonal-additive-gaussian-processes,Python
102,Amazon,oss-attribution-builder,TypeScript
103,Amazon,oss-contribution-tracker,TypeScript
104,Amazon,oss-dashboard,Ruby
105,Amazon,pecos,Python
106,Amazon,pretraining-or-self-training,Python
107,Amazon,python-jose_aws-kms-extension,Python
108,Amazon,rdma-core,C
109,Amazon,refuel-open-domain-qa,Python
110,Amazon,rete-thewebconf-2022,Python
111,Amazon,rheoceros,Python
112,Amazon,robotiq-gripper-interface,C++
113,Amazon,sample-fire-tv-app-video-skill,Java
114,Amazon,selling-partner-api-docs,HTML
115,Amazon,selling-partner-api-models,Java
116,Amazon,selling-partner-api-samples,Java
117,Amazon,seqzero,Python
118,Amazon,service-model-swift-code-generate,Swift
119,Amazon,sketch-constructor,JavaScript
120,Amazon,smoke-aws,Swift
121,Amazon,smoke-aws-credentials,Swift
122,Amazon,smoke-aws-generate,Swift
123,Amazon,smoke-aws-support,Swift
124,Amazon,smoke-dynamodb,Swift
125,Amazon,smoke-framework,Swift
126,Amazon,smoke-framework-application-generate,Swift
127,Amazon,smoke-framework-examples,Swift
128,Amazon,smoke-http,Swift
129,Amazon,sparse-vqvae,Python
130,Amazon,ss-aga-kgc,Python
131,Amazon,sto-transformer,Python
132,Amazon,style-dictionary,JavaScript
133,Amazon,supply-chain-simulation-environment,Python
134,Amazon,tiny-attribution-generator,TypeScript
135,Amazon,trans-encoder,Python
136,Amazon,user-satisfaction-modeling,Python
137,Amazon,workspace-resolver,JavaScript
138,Amazon,xfer,Python
139,Amazon,zeek-plugin-bacnet,Zeek
140,Amazon,zeek-plugin-enip,Zeek
141,Amazon,zeek-plugin-profinet,Zeek
142,Amazon,zeek-plugin-s7comm,Zeek
143,Amazon,zeek-plugin-tds,Zeek
144,Amazon,zero-shot-rlhr,Python
0,Meta,.github,
1,Meta,akd,Rust
2,Meta,Ax,Jupyter Notebook
3,Meta,between-meals,Ruby
4,Meta,bpfilter,C
5,Meta,buck,Java
6,Meta,buck2,Rust
7,Meta,buck2-prelude,Starlark
8,Meta,CacheLib,C++
9,Meta,chef-cookbooks,Ruby
10,Meta,chef-utils,Ruby
11,Meta,chisel,Python
12,Meta,componentkit,Objective-C++
13,Meta,Conversion-Leads-Salesforce-APEX,
14,Meta,create-react-app,JavaScript
15,Meta,dns,Go
16,Meta,docusaurus,TypeScript
17,Meta,duckling,Haskell
18,Meta,errpy,Rust
19,Meta,facebook-android-sdk,Kotlin
20,Meta,facebook-business-sdk-codegen,PHP
21,Meta,facebook-ios-sdk,Swift
22,Meta,facebook-java-business-sdk,Java
23,Meta,facebook-nodejs-business-sdk,JavaScript
24,Meta,facebook-php-business-sdk,PHP
25,Meta,facebook-python-business-sdk,Python
26,Meta,facebook-ruby-business-sdk,Ruby
27,Meta,facebook-sdk-for-unity,C#
28,Meta,facebook360_dep,HTML
29,Meta,FAI-PEP,Python
30,Meta,fatal,C++
31,Meta,fb303,C++
32,Meta,fbjs,JavaScript
33,Meta,fboss,C++
34,Meta,FBRetainCycleDetector,Objective-C++
35,Meta,fbt,JavaScript
36,Meta,fbthrift,C++
